#Table1
source_id,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,z,sourceType
3932771466977797120,1237661813886353671,187.121546000078,13.4032992755428,3804,301,6,195,STAR,21.52077,20.69164,20.8031,20.77897,20.54652,2.23819,QSO
3932777449867954688,1237661813886419303,187.191972544909,13.4322543409818,3804,301,6,196,STAR,23.37051,22.05658,21.4539,20.92174,20.24279,2.173557,QSO
3932792465073069056,1237661951329042982,186.768232156854,13.6128511893862,3836,301,6,252,STAR,22.82777,21.83711,21.8773,21.13946,21.25386,1.609982,QSO_VAR_SDSS
3907919033856963072,1237661950255497361,187.241585337694,12.7577788608894,3836,301,4,255,STAR,20.88685,19.87274,19.92034,19.88588,19.62491,2.510463,QSO
3907853544195410432,1237661949718233154,186.235541113298,12.4357154358214,3836,301,3,249,STAR,19.86045,19.40173,19.37406,19.37859,19.20366,3.268287,QSO
3907705694241256448,1237658629695537168,187.491628535932,12.3638803526165,3063,301,3,51,STAR,20.69282,20.01901,19.57085,19.13503,18.99748,1.588401,CHANDRAv1
3907990261594234880,1237661813349482823,187.015563814649,12.9980974565525,3804,301,5,195,STAR,22.31668,21.08914,20.79621,20.58837,20.68399,2.646167,QSO
3907990502112411648,1237658630769082480,187.109682570096,13.0184042725811,3063,301,5,48,STAR,22.34499,19.76385,19.47857,19.45458,19.32995,3.230847,QSO
3907990502112411648,1237658630769082480,187.109682570096,13.0184042725811,3063,301,5,48,STAR,22.34499,19.76385,19.47857,19.45458,19.32995,3.231608,QSO
3907990502112411648,1237658630769082480,187.109682570096,13.0184042725811,3063,301,5,48,STAR,22.34499,19.76385,19.47857,19.45458,19.32995,3.231203,QSO
3907855296542434816,1237661812812283979,186.253808829174,12.5245219696767,3804,301,4,190,STAR,20.12663,19.34907,19.22733,19.16074,18.91838,2.463008,QSO
3907967347944444416,1237661950255497267,187.116914808726,12.823670883238,3836,301,4,255,GALAXY,16.85062,15.3868,14.76809,14.46277,14.33105,0.005693547,GALAXY
3907993701863771136,1237661950792368544,187.107188065464,13.1195925840579,3836,301,5,255,STAR,22.47275,21.24987,21.06497,20.82656,20.60315,2.4044,QSO
3907764792991498240,1237661949181624461,186.903614062643,12.0356286292003,3836,301,2,253,STAR,19.09806,18.97567,19.09308,18.90063,18.93697,1.754004,QSO
3907826369937820672,1237658629695078411,186.377499181822,12.1915413925994,3063,301,3,44,GALAXY,20.0995,19.75519,19.08404,18.79883,18.45621,0.3231476,QSO
3907954424387481088,1237661950255235286,186.488565494539,12.7597401662996,3836,301,4,251,STAR,21.4053,20.64431,20.76411,20.79414,20.45452,2.385743,QSO
3907882200217256448,1237658629695275464,186.884397775238,12.3701774911722,3063,301,3,47,STAR,21.17746,20.56018,20.39686,20.33289,20.1251,2.965552,QSO
3907679722574586368,1237658629695471793,187.380345779227,12.1826610539027,3063,301,3,50,STAR,20.02766,19.50863,19.41365,19.18834,19.32556,0.631095,QSO
3907985691748996608,1237661950255300746,186.764049220458,12.900565525981,3836,301,4,252,STAR,19.39658,19.34193,19.16141,19.04803,19.30042,1.276131,QSO
3907974215598357504,1237661950255497311,187.181614945739,12.908910445031,3836,301,4,255,GALAXY,17.78084,15.9357,15.38093,15.03487,15.1237,0.09761693,GALAXY
3907899173928060416,1237661812812742741,187.297360934028,12.5044419503397,3804,301,4,197,STAR,20.41096,19.96471,19.86411,19.89111,19.6875,2.621675,QSO
3907938417044651520,1237661812812480749,186.803537283313,12.5567282359937,3804,301,4,193,STAR,21.43234,20.42174,20.00418,19.78721,19.74565,-0.0002485928,QSO_VAR_SDSS
3908763390067460096,1237661813886091391,186.5087566636,13.3540365353456,3804,301,6,191,STAR,26.27144,19.1186,18.22826,18.10156,17.89447,3.526724,QSO
3908763390067460096,1237661813886091391,186.5087566636,13.3540365353456,3804,301,6,191,STAR,26.27144,19.1186,18.22826,18.10156,17.89447,3.530019,QSO
3908716798261988352,1237661813349220675,186.398437007357,12.9475978515825,3804,301,5,191,STAR,22.2904,21.11012,20.36276,20.01528,19.99759,-0.0005402706,CHANDRAv1
3908770949209944576,1237661813886157095,186.6765039796,13.4667613267377,3804,301,6,192,STAR,20.69749,19.96146,20.1018,20.01077,19.84371,0.6716787,QSO
3908624576724120576,1237661950254973327,185.90236623614,12.7207966030003,3836,301,4,247,STAR,21.87142,20.44194,20.30839,20.18504,20.13994,-0.0001170091,QSO
3908608019626269184,1237661812812283956,186.227948638064,12.6018021993253,3804,301,4,190,STAR,19.13585,19.04524,19.18476,18.90828,18.91352,1.828847,QSO
3908608019626269184,1237661812812283956,186.227948638064,12.6018021993253,3804,301,4,190,STAR,19.13585,19.04524,19.18476,18.90828,18.91352,1.82762,QSO_SUPPZ
3908830769514472960,1237661951328780523,186.108580218233,13.5593865549852,3836,301,6,248,STAR,21.75565,21.13085,20.3049,19.49928,19.07911,1.696216,QSO
3908800361145933824,1237661950791844015,185.950755511663,13.3287299023885,3836,301,5,247,STAR,20.19314,19.56424,19.58528,19.54274,19.33381,2.497299,QSO
3932018988707517440,1237661950792368453,187.187420499627,13.303443085152,3836,301,5,255,STAR,20.51358,20.22056,20.06126,20.04677,19.91813,0.8431839,CHANDRAv1
3932021874925540352,1237661950792433821,187.334738986474,13.3063209531391,3836,301,5,256,STAR,21.06028,19.73531,19.4493,19.20085,19.05467,2.865321,QSO
3932015037337600000,1237661950792433814,187.310341411463,13.2577370207448,3836,301,5,256,STAR,20.26239,19.7897,19.58115,19.56059,19.32794,2.133865,QSO
3932003148868335104,1237658630769279235,187.567226111537,13.1094827255137,3063,301,5,51,STAR,20.85844,20.15606,20.33247,20.26279,20.03144,2.424153,QSO
3932020225658102784,1237661813886419097,187.199789610019,13.3379154068052,3804,301,6,196,STAR,20.86415,20.64328,20.37893,19.9094,19.56348,0.4444381,CHANDRAv1
