#Table1
source_id,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,z,sourceType
1539747944575518976,1237661852005433411,182.241705427004,45.6765158281323,3813,301,5,214,,15.65572,15.4416,15.28062,15.24316,15.27154,1.162348,QSO
1521070300036162304,1237662225143824440,192.70134985532,39.8609652600091,3900,301,4,414,,16.44169,16.2865,16.07784,16.135,16.08947,1.033143,QSO
1313552564219394560,1237655473435574299,255.629421161784,32.7887968004736,2328,301,4,114,,16.01811,15.91045,15.82148,15.56042,15.65629,0.1632425,QSO
1276808878484600320,1237662663213056110,231.119466093884,30.5437610121935,4002,301,4,148,,16.81185,16.69221,16.52409,16.64234,16.1996,0.2739726,QSO
1595880349635804160,1237659327095636053,230.485327764644,52.0440624489415,3225,301,6,124,,16.44396,15.89798,15.60466,15.44204,15.32514,2.195073,QSO
1203704618098140672,1237665442070331412,237.968600044739,19.1844605585784,4649,301,4,353,,17.02501,16.04275,15.8857,15.75128,15.68224,2.822662,QSO
1569757430828948736,1237662302965530674,193.29963064917,53.0199141128044,3918,301,5,39,,18.51115,17.96792,17.52848,17.19941,16.89987,1.38028,BLAZGXR
1569757430828948736,1237662302965530674,193.29963064917,53.0199141128044,3918,301,5,39,,18.51115,17.96792,17.52848,17.19941,16.89987,0.1484573,QSO
1483677387045139200,1237662224613048351,210.035585490632,36.8102063642101,3900,301,3,507,,18.01019,17.7154,17.47918,17.26809,17.19144,1.461979,QSO
1326101290427211776,1237659153681219695,246.530184198584,33.9875904804944,3185,301,3,46,,16.37121,16.26459,16.17179,15.92694,16.02894,0.204809,QSO
1049985092871290624,1237651065735282734,150.260630902461,59.7373313199787,1302,301,2,265,,16.32295,16.06172,16.0029,15.99615,15.9474,0.7459494,ROSAT_D
4015522743604478976,1237665225695625236,187.104039357197,31.4771271616721,4599,301,1,113,,16.45915,16.04028,15.83576,15.67973,15.49048,2.201297,QSO
1292126587286974208,1237661874028871772,228.679455015195,36.8473384574102,3818,301,6,393,,16.73761,16.64847,16.69717,16.75016,16.12576,0.3705309,QSO
1479422655002860032,1237662661595693073,213.513136969075,35.3865013914704,4002,301,1,45,,17.27716,16.67363,16.33404,15.98581,15.78474,0.05743051,QSO
1476786610234840320,1237662305111769098,203.202981978569,39.9655826514439,3919,301,1,20,,17.60802,17.53492,17.39582,17.39568,17.44187,1.150974,QSO
1476786610234840320,1237662305111769098,203.202981978569,39.9655826514439,3919,301,1,20,,17.60802,17.53492,17.39582,17.39568,17.44187,1.15187,QSO_IAL
1526032224213196288,1237661967971254294,198.230007323178,42.2756090785995,3840,301,5,240,,17.6862,17.27359,17.04749,17.09106,17.117,1.245027,QSO
1526032224213196288,1237661967971254294,198.230007323178,42.2756090785995,3840,301,5,240,,17.6862,17.27359,17.04749,17.09106,17.117,1.245822,QSO_AALs
1274009624959252992,1237662340009885788,233.564229220882,30.576515579605,3927,301,2,43,,17.1922,16.86329,16.51873,15.97479,15.95032,0.09337158,QSO
1479995672359790848,1237662224079192167,217.991452183364,34.2806179621556,3900,301,2,553,,17.6064,17.16399,17.05557,17.15361,16.89885,0.7155652,QSO
1479995672359790848,1237662224079192167,217.991452183364,34.2806179621556,3900,301,2,553,,17.6064,17.16399,17.05557,17.15361,16.89885,0.7154354,QSO_RADIO_AAL
1618284032923073792,1237654398625841226,216.734116272776,60.4307848569967,2078,301,2,203,,19.0645,16.48544,16.2801,16.23096,16.18457,3.189229,QSO
1618284032923073792,1237654398625841226,216.734116272776,60.4307848569967,2078,301,2,203,,19.0645,16.48544,16.2801,16.23096,16.18457,2.861354,QSO
1293747645383909376,1237662663208665107,220.32322791475,34.8481805711696,4002,301,4,81,,16.83308,16.63866,16.52792,16.60828,16.25532,0.3508468,QSO
1632076959617431552,1237671940340908125,255.252579954008,64.2025339241399,6162,301,4,125,,16.74166,16.05297,15.93894,15.83812,15.76962,2.737447,ROSAT_D
1255920390938359808,1237665440986955857,215.28150997001,25.639180239423,4649,301,2,206,,16.15558,15.86399,15.57601,15.53409,15.39945,1.051488,QSO
1063589247162736640,1237651272967585904,149.299097486728,63.1694830185703,1350,301,4,267,,17.00728,16.72498,16.55521,16.66154,16.55106,0.9176561,QSO
1063589247162736640,1237651272967585904,149.299097486728,63.1694830185703,1350,301,4,267,,17.00728,16.72498,16.55521,16.66154,16.55106,0.917382,QSO_AAL
1050386071018825472,1237651251492290582,151.840776152168,61.2615023565165,1345,301,4,260,,17.77135,17.47904,17.51319,17.56717,17.52306,0.700546,QSO
881602755458418432,1237657596220211254,116.423630918769,31.715739008378,2822,301,6,69,,15.98678,15.65257,15.74592,15.55699,15.39435,0.460881,QSO
1543216869403893760,1237661435384233997,192.272821586878,47.9737432017951,3716,301,5,71,,17.38264,17.02043,17.05045,16.93371,17.06794,0.6157327,QSO
