col0,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,z,sourceType
2.82668E+18,1.23768E+18,355.466598,21.63620492,7917,301,2,76,STAR,18.74278,18.00694,17.99553,17.96157,17.79661,0.7622179,QSO
7.29526E+17,1.23767E+18,157.2613223,29.25915492,4632,301,3,108,STAR,18.01003,17.59009,17.35089,17.06451,16.98132,1.768214,QSO
7.29526E+17,1.23767E+18,157.2613223,29.25915492,4632,301,3,108,STAR,18.01003,17.59009,17.35089,17.06451,16.98132,2.52424,QSO_AALs
7.29577E+17,1.23767E+18,157.6178222,29.8096736,4632,301,4,111,STAR,18.84622,18.4905,18.57636,18.53244,18.63104,0.6162006,DISKEMITTER_REPEAT
7.29577E+17,1.23767E+18,157.6178222,29.8096736,4632,301,4,111,STAR,18.84622,18.4905,18.57636,18.53244,18.63104,0.6155658,QSO
7.29672E+17,1.23767E+18,162.5745337,25.18592941,5112,301,2,346,STAR,18.50009,18.14819,18.20021,18.33952,18.22922,0.7437778,QSO
1.31023E+18,1.23766E+18,256.6303548,31.44162539,2328,301,4,124,STAR,18.43082,18.19402,18.24796,18.09854,18.10091,1.693843,QSO
1.39174E+18,1.23766E+18,227.9792191,40.01284182,3723,301,6,25,STAR,19.90837,19.20565,19.14713,19.08501,18.89894,2.320454,QSO
1.39162E+18,1.23766E+18,228.0114893,38.91373541,3716,301,4,253,STAR,19.073,18.91869,18.92082,18.62737,18.64282,1.707847,QSO
1.39176E+18,1.23766E+18,228.4867043,39.76811721,3723,301,6,28,STAR,18.82379,18.74928,18.65833,18.51367,18.27543,2.100695,QSO
1.1834E+18,1.23767E+18,226.0030161,13.68242921,5322,301,4,109,STAR,18.92478,18.8747,18.88832,18.64846,18.56461,1.82452,QSO
1.18353E+18,1.23767E+18,227.476729,14.71029914,5317,301,3,27,STAR,18.9134,18.53879,18.55211,18.36848,18.27528,0.5389245,QSO
1.18345E+18,1.23767E+18,226.2277032,14.24797685,5308,301,1,227,STAR,19.25134,18.72581,18.82551,18.83684,18.72342,0.6822076,QSO
1.18342E+18,1.23767E+18,226.1334212,13.95393851,5326,301,5,172,STAR,18.28031,17.89107,17.7878,17.69903,17.49588,2.184264,QSO
1.18342E+18,1.23767E+18,226.1334212,13.95393851,5326,301,5,172,STAR,18.28031,17.89107,17.7878,17.69903,17.49588,2.161957,QSO
1.18334E+18,1.23767E+18,226.2746131,13.56117081,5322,301,4,111,STAR,19.08389,18.78036,18.60607,18.36764,18.44574,1.506124,QSO
1.18347E+18,1.23767E+18,227.0986622,14.11888512,5308,301,1,233,STAR,18.87788,18.67445,18.45023,18.49224,18.41333,1.004407,QSO
4.45277E+18,1.23767E+18,245.5367976,9.888153998,5317,301,3,149,STAR,19.51076,19.40736,19.18961,19.02896,19.06634,1.46411,QSO
9.72808E+17,1.23766E+18,112.3059006,42.45421093,4294,301,3,16,STAR,19.48303,19.0972,18.7001,18.75174,18.67091,1.054492,QSO
9.72803E+17,1.23766E+18,112.0272087,42.31806736,4294,301,3,15,STAR,20.15255,19.57044,18.93169,18.6649,18.46353,2.138824,QSO
9.72834E+17,1.23766E+18,112.4174085,42.66277305,4294,301,3,18,STAR,18.89075,18.63141,18.49191,18.22596,18.33365,1.681058,QSO
1.03818E+18,1.23765E+18,138.6075079,58.42194867,1412,301,2,20,STAR,17.73586,17.76204,17.77094,17.5424,17.46779,1.944225,HOT_STD
1.03826E+18,1.23765E+18,140.9944694,58.7359921,1412,301,1,28,STAR,18.34176,18.05321,17.97081,18.02615,17.89699,0.8303273,QSO
1.03795E+18,1.23766E+18,135.4120304,59.31035767,4208,301,1,202,STAR,20.10358,19.20003,18.99459,18.79043,18.61473,2.31581,QSO
8.81152E+17,1.23767E+18,119.6748901,32.61743797,6709,301,1,36,STAR,18.71741,18.43056,18.52862,18.38143,18.41295,0.5568737,QSO
8.81133E+17,1.23766E+18,119.7024625,32.37063574,2822,301,2,84,STAR,19.19482,18.36475,18.27316,18.12747,17.81606,2.251106,QSO
8.81133E+17,1.23766E+18,119.7024625,32.37063574,2822,301,2,84,STAR,19.19482,18.36475,18.27316,18.12747,17.81606,2.254706,QSO
7.53444E+17,1.23766E+18,153.5052333,35.49740744,4469,301,3,280,STAR,18.80275,18.76894,18.72768,18.47186,18.44568,1.83298,QSO
7.53242E+17,1.23766E+18,153.2894393,34.58571289,4469,301,1,277,STAR,19.13352,18.76368,18.54968,18.20255,18.24279,1.842025,QSO
7.53424E+17,1.23766E+18,154.216554,35.69076216,4469,301,3,284,STAR,18.82667,18.71685,18.58171,18.51974,18.35314,2.033898,QSO
1.19374E+18,1.23767E+18,232.7606842,12.8268005,5308,301,1,270,STAR,19.13558,18.43193,18.26714,18.2054,18.00197,2.361175,QSO
1.19374E+18,1.23767E+18,232.7606842,12.8268005,5308,301,1,270,STAR,19.13558,18.43193,18.26714,18.2054,18.00197,2.355222,QSO
2.49659E+18,1.23768E+18,38.28260237,-1.886529353,7780,301,4,157,STAR,19.02963,18.32441,18.19818,18.16171,17.95111,2.403576,QSO
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.07968,QSO
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.079722,QSO_EBOSS_W3_ADM
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.079856,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.07985,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.0801,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080696,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.08064,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080516,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080422,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.080137,RM_TILE2
1.512E+18,1.23766E+18,212.7702868,52.08800341,3180,301,4,62,STAR,19.50719,19.2559,18.99244,18.98116,18.8775,1.08066,RM_TILE2
