objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,clean
758887367571603742,90.36835323,4.08220587,0.107579,1,0.164336,0,19.208494,17.640192,16.994602,16.682827,16.47333,1.618237,0.794491,1
758885349475680615,89.73409982,3.91545228,3.006889E-5,0,3.492655E-6,0,19.493618,17.957521,17.222559,16.873713,16.697268,0.968176,0.500901,1
758885349475811569,89.96884391,4.02793317,1.630608E-4,0,5.319609E-5,0,19.481943,17.576441,17.503115,17.487228,17.793459,0.906161,0.475424,1
758887367571341543,89.83798929,3.81146465,0.042071,0,0.049309,0,19.927206,18.24836,17.520325,17.152863,16.919954,1.355726,0.688006,1
758887367571341544,89.8387125,3.81139391,0.127623,1,0.170441,0,25.033442,21.861052,20.687828,20.331068,19.904482,2.59624,0.971084,0
758885348939006231,90.24905317,3.8625639,0.016535,0,0.020484,0,19.819019,18.084494,17.454657,17.153557,16.964962,0.99718,0.510612,1
587739706884554972,242.30704923,16.85439647,5.688202E-4,0,7.726964E-3,1.54303,19.477158,19.149628,18.908148,18.595291,18.602915,1.265231,0.645623,1
587726877274800269,340.25602561,-10.11399831,0.037008,0.869941,0.045632,1.49764,18.968803,18.349787,17.960201,17.659067,17.6178,1.330911,0.676944,1
587742061073203213,185.48245134,22.21993563,0.073119,0,0.11292,2.35648,18.457458,17.87941,17.749947,17.733589,17.500561,1.644726,0.807145,1
588023239134412816,138.8858077,17.36221452,0.073765,0,0.106556,1.74587,17.379246,17.366478,17.322712,17.04884,16.960665,1.602792,0.793155,1
587724240694935691,53.6595066,-7.19696076,0,1,6.840182E-4,0.634523,17.60104,17.248861,17.346439,17.220629,17.348951,1.332209,0.677332,1
587742615638638753,247.19595155,12.45541984,0.015789,1,0.017451,1.40105,18.486052,18.230331,17.937572,17.76264,17.656551,1.201311,0.610241,1
758887368102904074,79.04146524,-1.62637334,0.060233,0.962337,0.092186,0,19.14447,17.894491,17.504454,17.332279,17.243273,1.373426,0.691348,1
758885351080067315,76.70557221,-1.79999903,4.283844E-4,0,4.552431E-5,0,18.889164,17.659359,17.209787,17.034481,16.946325,1.38475,0.719777,1
758887368639316278,77.98996722,-1.8245634,2.3729E-3,1,3.238154E-3,0,19.244167,17.287703,16.502022,16.193739,16.030451,1.500591,0.752701,1
758887367565836597,78.80320875,-2.32579232,0.094007,1,0.145078,0,19.710197,18.406038,17.826302,17.576128,17.434116,1.446958,0.717021,1
758887367565836329,78.80723686,-2.32630284,0.102973,1,0.158832,0,18.609575,17.230103,16.707994,16.485041,16.366846,1.418988,0.710369,1
758887368102969729,79.17480938,-1.68057353,0.04511,0,0.030446,0,19.527323,18.324509,17.835766,17.685049,17.585218,1.443025,0.717044,1
758881511378061002,28.12591406,65.72467627,0.011723,0,0.027966,0,22.50259,19.943571,18.447887,17.796059,17.223324,1.349903,0.686412,1
587739377770102833,129.9076899,22.66129555,9.196326E-3,0,0.011748,1.30272,16.826902,16.716007,16.472755,16.392012,16.405003,1.207162,0.621927,1
758881511378127156,27.83689937,65.94824669,6.615302E-7,0,0.068244,0,22.152685,19.911673,18.440405,17.662762,17.131996,1.374889,0.6882,1
