#Table1
objid,ra,dec,u,g,r,i,z,class,redshift
1237650762398302359,197.680704403297,-1.96521411503928,19.58881,17.61696,16.73237,16.32802,16.03879,GALAXY,0.08169618
1237650762398302388,197.735796683138,-1.94855544361944,19.05181,17.92665,17.21166,16.81731,16.53323,GALAXY,0.08124017
1237650762398302435,197.780683490013,-2.00902338580602,19.28426,17.55905,16.68072,16.19581,15.85702,GALAXY,0.08179908
1237650762398498996,198.209229269258,-1.89957894163437,18.26742,17.39275,17.00057,16.67694,16.53415,GALAXY,0.08381247
1237650762398498820,198.093243362076,-1.84697787780274,17.71761,16.58969,16.50483,16.49943,16.58792,STAR,0.0003588291
1237650762398367946,197.909575863822,-1.80975562737593,18.70635,16.98193,16.21663,15.84458,15.5648,GALAXY,0.06404597
1237650762926522390,177.885374841237,-1.52750731634895,17.18842,16.11682,16.05584,16.08672,16.13031,STAR,0.0001954412
1237650762926194750,177.215357875097,-1.43686442945559,17.36671,17.38061,17.43997,17.60815,17.81599,STAR,0.0002082638
1237650762926194730,177.16909112135,-1.45819891918686,17.40519,16.26758,15.82431,15.67296,15.59058,STAR,-0.0002435052
1237650762926129327,177.088401296999,-1.493768609878,18.61849,17.10977,16.35032,15.93062,15.63245,GALAXY,0.08074035
1237650762924818479,174.06506326701,-1.46190056771655,17.66965,17.51254,17.32617,17.35011,17.36935,QSO,1.063375
1237650762924425442,173.165438859768,-1.52845832777657,19.4603,18.10255,17.41504,17.0259,16.79302,GALAXY,0.09894927
1237650762924425435,173.149437464546,-1.48015470856702,19.11413,18.84591,19.00795,18.7938,18.56417,QSO,0.4417119
1237650762924425431,173.149961145514,-1.54420261362652,19.4645,17.9907,17.2306,16.75517,16.43048,GALAXY,0.09831185
1237650762924425251,173.111668177238,-1.45612222006231,17.4716,16.22979,15.68379,15.43765,15.30415,STAR,0.0006232051
1237650762924359840,173.042823006016,-1.57293358177742,18.89038,16.89807,15.92845,15.51794,15.16256,GALAXY,0.1050896
1237650762924359747,173.035363609387,-1.5823961425741,19.10457,17.01288,16.16867,15.89955,15.74116,STAR,-2.808187E-05
1237650762924294281,172.905328401705,-1.53910539176059,19.31536,18.42067,18.18626,18.0906,18.07058,STAR,-0.0001540969
1237650762924097733,172.463949288247,-1.58566045920479,19.44713,18.19561,17.73817,17.56126,17.46642,STAR,-4.381539E-05
1237650762924097714,172.424584510132,-1.42557710113893,19.0271,17.82631,17.27368,16.93803,16.72711,GALAXY,0.1096643
1237650762924097710,172.41884382272,-1.57420340670863,18.67459,17.18927,16.48333,16.1002,15.80209,GALAXY,0.07617781
1237650762923835459,171.863703062903,-1.41310776626489,17.06646,15.88387,15.9836,16.10507,16.20394,STAR,0.0004374046
1237650762923835449,171.841622328928,-1.55871846857599,18.10646,16.67481,16.05508,15.82872,15.69561,STAR,-4.004137E-05
1237650762923769996,171.7066855139,-1.44424651868977,18.23952,17.3522,17.1414,16.88322,16.85088,GALAXY,0.07555289
1237650762923769971,171.676195840412,-1.4589945503895,19.25079,17.29677,16.37869,15.94119,15.60109,GALAXY,0.07431035
1237650762923769938,171.628074309785,-1.56783540778553,19.43161,17.71559,16.99813,16.70523,16.5132,STAR,-0.0001833964
1237650762923769936,171.629705828667,-1.39642454723394,19.23446,17.82392,17.17782,16.81703,16.53888,GALAXY,0.07500073
1237650762923769896,171.693478852539,-1.57164515502193,18.78454,18.6443,18.31186,18.22631,17.63956,QSO,0.3406637
1237650762923769888,171.676424364645,-1.48041704746791,18.88364,17.72491,17.29921,17.12558,17.0458,STAR,2.625073E-05
1237650762923704418,171.438719990174,-1.55283516875473,18.87413,17.94512,17.58935,17.25179,17.1517,GALAXY,0.06277878
1237650762923704416,171.434101955635,-1.52986522970193,18.48344,17.4457,17.12205,16.85737,16.74147,GALAXY,0.06346171
1237650762398695590,198.673307248877,-1.96203571438692,18.20875,16.31817,15.40327,14.94838,14.59542,GALAXY,0.08159997
1237650762926850272,178.721483386161,-1.5892458512236,19.55195,19.32972,19.23701,19.00826,19.10874,QSO,1.777408
1237650762398630023,198.458315212544,-1.95451050576905,19.15166,18.65423,17.98542,17.50728,17.33112,QSO,0.1817561
1237650762398433395,197.984582286592,-2.00518635765336,19.51645,18.54365,18.25322,18.17074,18.14592,STAR,0.0004599665
1237650762926784573,178.522722063297,-1.51085832579393,19.05686,17.45437,16.5396,16.11254,15.76796,GALAXY,0.1271948
1237650762926784543,178.480805562811,-1.46665800855656,18.30227,16.70471,15.90137,15.46796,15.14741,GALAXY,0.07693128
1237650762926588039,178.073406609313,-1.43376590552794,19.44469,18.14519,17.55613,17.08335,16.89114,GALAXY,0.08367371
1237650762926915719,178.831640637272,-1.48075914046151,18.97066,17.61281,16.89607,16.45735,16.14763,GALAXY,0.1429539
1237650762926915751,178.898178880653,-1.54279936160277,19.35719,18.21557,18.40944,18.5576,18.74375,STAR,9.077431E-05
1237650762926391421,177.673827722779,-1.45500445097821,18.01764,16.50611,15.80131,15.40658,15.15718,GALAXY,0.08042729
1237650762926260370,177.318966641175,-1.53641207635,19.22,18.08172,17.49395,17.14316,16.86585,GALAXY,0.08241754
1237650762926260354,177.300081370386,-1.55955503062284,19.2656,18.09533,17.47165,17.0591,16.83575,GALAXY,0.081371
1237650762926981345,178.978770072218,-1.60334391050265,18.04048,16.17273,15.33104,14.9442,14.6118,GALAXY,0.06425402
1237650762926129281,177.02528500923,-1.59797381766081,19.07168,18.23935,17.76678,17.45317,17.31018,GALAXY,0.08300301
1237650762926129276,177.025174701448,-1.55987056695494,19.47156,17.57081,16.52497,16.0741,15.68966,GALAXY,0.09506837
1237650762926981386,178.947630277369,-1.55224555257486,19.01283,17.5888,16.94725,16.61518,16.36874,GALAXY,0.08106375
1237650762924883974,174.165824643767,-1.42128298790752,17.84885,16.65841,16.48163,16.42451,16.40577,STAR,-0.0001252905
1237650762927112308,179.321927395765,-1.50843464281287,19.18718,16.73044,15.69714,15.36307,15.17464,STAR,0.0001003918
1237650762927112310,179.324527513492,-1.55982903048892,18.76536,17.45273,16.94985,16.68979,16.50124,GALAXY,0.08844752
1237650762924621981,173.644314146599,-1.56901179673017,19.12612,17.82159,17.26213,16.94112,16.68918,GALAXY,0.0785966
1237650762924621828,173.538805302286,-1.59512129681188,16.52193,14.98601,14.27342,13.87628,13.54209,GALAXY,0.02256087
1237650762924490861,173.293362478454,-1.48815842334897,19.07352,17.73726,17.0364,16.63553,16.32989,GALAXY,0.1047505
1237650762924490854,173.286540393632,-1.6060275823381,18.87242,16.95665,16.10472,15.68979,15.35696,GALAXY,0.04819063
1237650762924490803,173.357833266689,-1.4747409777466,17.35156,17.37521,17.60592,17.79112,17.96544,QSO,5.353854
1237650762924490764,173.26439113743,-1.56539880993362,18.69967,17.26867,16.69967,16.4661,16.31876,STAR,-7.567414E-05
1237650762927177893,179.494652967949,-1.55768099798556,18.04222,16.80401,16.30231,16.03049,15.79945,GALAXY,0.02022056
1237650762924425219,173.081489587437,-1.59750279919786,18.6121,17.48766,17.01395,16.83196,16.70801,STAR,0.0005889023
1237650762927243376,179.589796491969,-1.45842490361042,19.07224,17.10228,16.14645,15.71548,15.37337,GALAXY,0.08166218
1237650762927308859,179.752395549931,-1.54758943848652,16.62624,15.59729,15.26986,15.15325,15.10576,STAR,0.0004915025
1237650762924294220,172.874831027676,-1.45030266656936,18.5166,17.21872,16.72875,16.529,16.40907,STAR,3.010972E-05
