objid,ra,dec,u,g,r,i,z,specobjid,plate,mjd,fiberid
1237645879551066262,348.902530171573,1.27188624932946,19.38905,18.24496,17.58728,17.20807,16.90905,430194949951088640,382,51816,368
1237645879562862699,15.8961264648656,1.26484510362016,20.14134,19.28787,19.04397,18.96897,18.79573,445958098402699264,396,51816,370
1237645879562928258,16.0202444868512,1.26766725996923,20.96947,20.29136,19.36779,18.86387,18.45551,754453860055017472,670,52520,367
1237645879562928805,16.026028703005,1.26677200796832,25.27165,22.32081,21.33033,19.94852,19.47201,4853831831466778624,4311,55506,281
1237645879573873373,41.0196126806213,1.27127864890579,22.64928,22.0096,20.40414,19.57801,19.20975,4797482960004554752,4261,55503,85
1237645879577477252,49.2489417995925,1.27243115303389,21.41706,18.80885,17.70065,17.20334,16.81356,465100870804072448,413,51821,379
1237645879577739681,49.8737599539194,1.27121021048005,22.98776,21.34827,19.75467,19.14825,18.81528,910974839957776384,809,52647,443
1237645879577936138,50.2348350060831,1.27194527496731,19.78651,18.34659,17.64557,17.25275,17.00746,465154746873833472,413,51821,575
1237645879578460255,51.4436950026148,1.27007271795861,19.52808,17.96541,17.03493,16.53754,16.14154,466235292731336704,414,51869,410
1237645879578460271,51.4835835170322,1.27201267342336,18.72268,17.3852,16.81134,16.51803,16.29502,466232818830174208,414,51869,401
