source_id, ra, dec
SC135 188.761963 11.574129
SC120 188.388546 11.528264
SC376 188.199850 11.654059
SC29 188.112808 11.621061
SC35 188.344667 11.532853
SC30 188.208108 11.533542
SC153 188.264667 11.838970
SC173 188.507167 11.748969
SC218 188.242029 11.592775
SC144 188.375838 11.663350
SC426 188.693400 11.724271
SC340 188.224113 11.760517
SC399 188.669679 11.643681
SC240 188.502021 11.458401
SC466 188.670671 11.796306
SC377 188.249400 11.659409
SC202 188.222550 11.834166
SC101 188.695483 11.559742
SC108 188.568233 11.797244
M87UCD-39 188.442971 11.950646
SC247 188.242158 11.543251
SC188 188.243704 11.506907
SC244 188.157988 11.492991
SC232 188.577392 11.648743
SC279 188.608358 11.479459
SC307 188.705729 11.535533
SC271 188.428092 11.895521
SC56 188.554054 11.443673
SC183 188.631104 11.710468
SC39 188.539267 11.553883
SC380 188.778729 11.657149
SC114 188.346925 11.512126
SC254 188.709292 11.597959
SC354 188.492829 11.607797
SC143 188.460554 11.483515
SC311 188.527358 11.836733
SC219 188.579538 11.604213
SC417 188.486038 11.951982
SC17 188.752938 11.988313
SC166 188.609071 11.995060
SC371 188.793325 11.965568
SC419 188.603763 12.032799
SC409 188.680021 11.829644
SC410 188.705350 11.792878
SC73 188.831779 12.001161
SC411 188.878804 11.917853
SC296 188.543325 11.991489
SC86 188.677038 12.113949
SC43 188.891525 11.975051
SC41 188.702679 12.082077
SC229 188.743967 11.952218
SC305 188.511033 12.026442
SC51 188.745950 11.980985
SC253 188.835729 12.081509
SC299 188.862600 11.839349
SC337 188.773529 11.940783
SC248 188.645433 12.119204
SC31 188.880471 11.902815
SC365 188.869446 11.768101
SC397 188.722471 12.110949
SC132 188.781150 11.887515
SC221 188.900521 11.951618
SC256 188.749371 11.830121
SC151 188.782104 12.071715
SC446 188.830846 11.787730
SC199 188.724996 12.100135
SC344 187.143092 11.789109
SC268 187.719167 11.751061
GC170 187.281998 11.796391
SC40 186.851233 11.718789
H8324 187.868358 11.995781
SC13 187.847629 11.883936
SC106 188.269100 12.142450
SC263 187.882033 11.748386
SC107 187.800721 11.735583
GC175 187.324213 11.939540
SC154 187.871817 11.909675
H28090 188.014596 12.237269
SC142 187.465679 11.904653
SC348 188.093283 12.005895
SC2 188.139925 12.217645
SC110 187.813454 11.743508
SC236 187.814396 11.923050
H2909 187.848158 11.929441
SC252 187.965175 12.005053
SC118 188.145004 11.781670
SC99 188.127696 12.207459
F15 188.010550 11.940539
M87UCD-34 187.311971 11.895508
SC332 187.742671 11.974633
H20637 187.947550 12.155797
SC217 187.328854 11.833307
M87UCD-3 187.583540 11.921860
M87UCD-35 188.097896 11.965272
SC339 187.962971 11.952297
SC167 187.924692 11.956673
SC205 188.057054 12.100556
H17591 187.832779 12.109606
SC80 188.259746 11.986228
H12992 187.869546 12.052880
SC9 187.956304 11.726142
SC346 187.901817 11.969809
H17116 188.120754 12.104395
SC71 187.925633 11.968382
SC50 186.919129 11.917834
SC373 188.377442 12.012215
H6339 187.817146 11.970872
SC297 188.216250 12.034450
H14762 188.103904 12.074603
SC351 187.930196 12.109475
SC395 188.270742 11.924255
H18654 188.037471 12.121292
SC357 187.083367 11.961179
H7603 187.799750 11.987056
SC18 188.296796 12.054878
SC36 188.110329 11.785831
SC4 187.724663 11.989836
H714 187.772483 11.901894
SC47 187.974571 11.984450
SC8 187.805942 11.828506
SC257 187.952083 11.842334
GC196 187.557098 11.824147
SC284 187.485996 12.067972
SC26 187.662863 12.066544
SC127 186.995996 11.577619
H4469 187.827800 11.948778
UCD33 187.236588 11.613500
SC45 188.025650 11.698111
VUCD4 187.768650 11.943469
SC44 188.189233 12.101094
SC367 188.191004 11.814183
SC42 188.211738 12.045175
H4636 187.686179 11.950691
SC306 187.420904 11.848664
SC283 187.767904 11.812358
SC224 188.281371 12.139834
H12170 187.911042 12.042878
SC277 187.806329 11.922328
SC23 187.637458 11.968808
H14439 187.823154 12.070058
SC157 187.118767 11.698586
H6799 187.948738 11.975878
SC7 188.099700 12.076199
SC204 186.827104 11.618060
SC125 187.069179 11.634933
SC281 187.522904 11.959214
UCD28 187.117981 11.649795
SC49 186.901263 11.612891
H15066 188.012496 12.078128
H4657 187.836542 11.950586
SC145 187.937379 12.132800
H24406 187.968692 12.197126
SC164 187.819463 11.820191
H9772 187.871088 12.012867
SC6 187.866896 12.095661
SC197 186.912500 11.870114
H18539 187.516879 12.120536
H11422 187.525379 12.033617
SC390 186.973342 11.928078
SC245 187.812767 12.091781
H28953 188.044054 12.247233
SC408 188.085500 11.872247
H11090 187.844638 12.029411
H7098 187.511217 11.980686
H32145 188.036613 12.280945
SC214 187.763471 11.912970
GC147 186.913132 11.642225
SC11 188.136521 12.013147
H10971 187.747967 12.028239
SC148 188.184013 12.130553
H16257 187.917608 12.093638
SC109 188.157979 11.924806
SC66 187.719942 11.996125
SC269 188.271175 12.088175
SC185 187.826600 11.752505
